"1" , "First Row"                                        ,  "0" , "12/31/1999"
"2" , "Second Row (CHECK IF FIRST ROW APPEARS)"          ,  "1" , "1/1/2000"
"3" , "Third Row"                                        ,  "0" , "2/20/2014"
"4" , "Fourth Row"                                       ,  "1" , "1/20/1960"
"5" , "Fifth Row"                                        ,  "0" , "3/15/1970"
"6" , "Sixth Row"                                        ,  "1" , "2/18/1900"
"7" , "Seventh Row"                                      ,  "0" , "12/31/1999"
"8" , "Eighth,Row"                                       ,  "1" , "1/1/2000"
"9" , "1E+15"                                            ,  "0" , "2/20/2014"
"10", "1010.101"                                         ,  "1" , "1/20/1960"
"11", "?????"                                            ,  "0" , "3/15/1970"
"12", "�??????�"                                         ,  "1" , "2/18/1900"
"13", "?(???? �? )?"                                     ,  "0" , "12/31/1999"
"14", "\t\r\n.""                                         ,  "0" , "1/1/2000"
"15", "k6/�"                                             ,  ""  , "2/20/2014"
"16", "3g?"                                              ,  "1" , "1/20/1960"
"17", "W��qo�"                                            ,  "0" , "3/15/1970"
"18", "NEXT ROW IS BLANK"                                ,  "1" , "2/18/1900"
""  , ""                                                 ,  ""  , ""
"20", "EXTENSION 1!@#$%^&*()� ?? ?????????? Erweiterung" ,  "1" , "1/1/2000"
"21", "SECOND LAST ROW (CHECK IF LAST ROW APPEARS)"      ,  "0" , "2/20/2014"
"22", "LAST ROW"                                         ,  "1" , "1/1/2000"
